timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777276841475,5236,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-436,text,false,,2228,0,500,500,http://Result-Traffic-Cop-1338216547.eu-north-1.elb.amazonaws.com:8080/result/12345,0,0,5236
1777276841816,4821,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-464,text,false,,2228,0,500,500,http://Result-Traffic-Cop-1338216547.eu-north-1.elb.amazonaws.com:8080/result/12345,0,0,4821
1777276838631,8087,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-77,text,false,,2228,0,500,500,http://Result-Traffic-Cop-1338216547.eu-north-1.elb.amazonaws.com:8080/result/12345,0,0,8087
1777276838596,8074,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-8,text,false,,2228,0,500,500,http://Result-Traffic-Cop-1338216547.eu-north-1.elb.amazonaws.com:8080/result/12345,0,0,8074
1777276838442,8239,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-91,text,false,,2228,0,500,500,http://Result-Traffic-Cop-1338216547.eu-north-1.elb.amazonaws.com:8080/result/12345,0,0,8239
1777276838722,7986,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-6,text,false,,2228,0,500,500,http://Result-Traffic-Cop-1338216547.eu-north-1.elb.amazonaws.com:8080/result/12345,0,0,7986
1777276841538,5172,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-443,text,false,,2228,0,500,500,http://Result-Traffic-Cop-1338216547.eu-north-1.elb.amazonaws.com:8080/result/12345,0,0,5172
1777276839714,6996,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-254,text,false,,2228,0,500,500,http://Result-Traffic-Cop-1338216547.eu-north-1.elb.amazonaws.com:8080/result/12345,0,0,6996
1777276841442,5280,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-433,text,false,,2228,0,500,500,http://Result-Traffic-Cop-1338216547.eu-north-1.elb.amazonaws.com:8080/result/12345,0,0,5280
1777276838655,8059,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-124,text,false,,2228,0,500,500,http://Result-Traffic-Cop-1338216547.eu-north-1.elb.amazonaws.com:8080/result/12345,0,0,8059
1777276840112,6603,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-299,text,false,,2228,0,500,500,http://Result-Traffic-Cop-1338216547.eu-north-1.elb.amazonaws.com:8080/result/12345,0,0,6603
1777276838514,8127,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-56,text,false,,2228,0,500,500,http://Result-Traffic-Cop-1338216547.eu-north-1.elb.amazonaws.com:8080/result/12345,0,0,8127
